,Topic,Words,Frequency,Timestamp
235,14,"grosso, mato, civilian, eder, red",1,1989.6
236,15,"sitracode, dominican, export, cvor, blacklist",5,1989.6
237,16,"ecuadorian, fenoc, eviction, cedoc, ceosl",8,1989.6
238,17,"olaf, inmobiliario, mill, palme, telcor",1,1989.6
239,18,"uruguay, paper, fnp, cuopyc, uruguayan",3,1989.6
240,19,"sitrainva, inva, honduras, aguilera, hilario",3,1989.6
241,20,"stabilisation, decrees, pesca, andahna, limitations",4,1989.6
242,21,"key, muoz, cntparaguay, casado, enramada",4,1989.6
243,22,"panamanian, panama, sinaban, inc, cabinet",5,1989.6
244,25,"ugtc, cuban, ustc, gutirrez, cuba",3,1989.6
245,26,"farm, nueva, patria, toj, abduction",9,1989.6
246,27,"sina, arco, cv, corsain, inazucar",2,1989.6
247,28,"contacts, onusal, searching, outstanding, homes",2,1989.6
248,30,"cneh, ogith, festredh, haiti, haitian",9,1989.6
249,-1,"electro, srtva, este, ucayali, sur",62,1993.2
250,0,"murdered, murders, antioqua, victims, impunity",63,1993.2
251,1,"colombia, murdered, murders, colombian, impunity",20,1993.2
252,2,"uneida, delfn, vildoso, rojo, quispe",10,1993.2
253,3,"uti, bankruptcy, rojo, retired, pensioners",8,1993.2
254,4,"fisheries, rubios, montalvn, risco, srtva",7,1993.2
255,5,"peru, sutep, peruvian, level, tr",12,1993.2
256,6,"avensa, aeronautical, servivensa, flight, firefighters",4,1993.2
257,7,"ims, slope, building, mandator, worksite",1,1993.2
258,8,"ceyln, galindo, estate, ajquijay, benavente",6,1993.2
259,9,"craft, nursing, sigesal, rosales, rayders",4,1993.2
260,10,"ucayali, electro, este, electrosur, puno",2,1993.2
261,11,"costa, rica, asepa, sitagah, senara",8,1993.2
262,12,"telegraph, hiring, collection, superior, wide",5,1993.2
263,13,"redentor, supermarkets, extra, fesimini, baca",2,1993.2
264,14,"petrobrs, abusive, fup, brazilian, oil",4,1993.2
265,15,"soldier, ozama, montellanos, courtmartial, miscarriage",1,1993.2
266,16,"petroecuador, assistants, ecuador, faele, hospital",6,1993.2
267,17,"fisheries, fstse, secretariat, natural, environment",1,1993.2
268,18,"lloyds, blsa, igtss, annulment, banking",1,1993.2
269,19,"railroad, tela, fecesitlih, sitraterco, fincas",1,1993.2
270,20,"fines, petrobras, abusive, inhibit, bill",1,1993.2
271,21,"feprinco, paraguay, cpt, bicameral, eximpora",6,1993.2
272,22,"controllers, traffic, air, panamanian, aeronautics",1,1993.2
273,23,"cob, bolivian, emergency, bolivia, icftuorit",3,1993.2
274,24,"collectedn, prosecutors, casanare, specialist, unit",2,1993.2
275,25,"ctdc, cuba, amelia, enid, luque",6,1993.2
276,26,"toj, california, farm, nueva, cndido",2,1993.2
277,27,"sina, arco, cv, corsain, inazucar",2,1993.2
278,29,"negro, ro, unter, undersecretariat, decrees",2,1993.2
279,-1,"etb, sintratelefonos, adeco, bogot, barreto",132,1996.8
280,0,"cutralco, neuqun, cutc, atelans, botron",21,1996.8
281,1,"cooperatives, colombia, sinaltrainbec, antioquia, confecciones",37,1996.8
282,2,"caofa, zamora, atahua, auditorgeneral, alvarez",39,1996.8
283,3,"irigoyen, unlar, faculty, pelloli, argentina",12,1996.8
284,4,"festsa, cstaffiliated, chentex, ctv, cntaffiliated",24,1996.8
285,5,"cgtp, sutrel, peru, enafer, luz",14,1996.8
286,6,"caracas, brigade, ctv, fire, fundarte",17,1996.8
287,7,"ceremony, senate, cut, assets, gallery",6,1996.8
288,8,"plantations, bananera, mop, panorama, circular",7,1996.8
289,9,"antel, founders, notary, notarial, isss",5,1996.8
290,10,"ect, fentect, brigade, aebu, caofa",11,1996.8
291,11,"costa, rica, unfair, dvm, chacn",6,1996.8
292,12,"antrtida, stoppages, islas, professional, stoppage",7,1996.8
293,14,"brasil, paran, contec, profitsharing, cntif",5,1996.8
294,16,"conautel, emetel, greta, hoyos, cte",1,1996.8
295,17,"roche, syntex, justo, stprm, sintaconalep",3,1996.8
296,18,"conaprole, vitalis, aoec, gaseba, pitcnt",2,1996.8
297,19,"colsiba, banana, consul, ecuadorian, ecuador",1,1996.8
298,20,"sepivic, ivic, bureau, cordiplan, planning",4,1996.8
299,21,"sitrande, ande, paraguay, announcers, radio",3,1996.8
300,22,"imaginary, disproportionate, panama, shutting, conep",3,1996.8
301,24,"sinaltrabavaria, sinaltrainbec, caja, agrario, bavaria",17,1996.8
302,26,"farm, exacta, lourdes, cardiz, unsitragua",18,1996.8
303,27,"sitrarena, fertica, registry, certification, ratification",2,1996.8
304,30,"cneh, yas, festredh, sewing, haiti",3,1996.8
305,-1,"ecopetrol, adeco, tribunal, award, sijupu",165,2000.4
306,0,"unapetrol, pdvsa, fernndez, ctv, civic",34,2000.4
307,1,"colombia, sintraseguridadsocial, default, cooperatives, asproal",18,2000.4
308,2,"praino, trabajo, sutrabantra, petrotech, peruana",47,2000.4
309,3,"dge, sute, buenos, aires, ate",21,2000.4
310,4,"magazine, helicol, metals, newspaper, vendors",24,2000.4
311,5,"sutrel, peru, srl, edelnor, cam",18,2000.4
312,6,"fedecamaras, venezuela, bolivarian, venezuelan, ioe",99,2000.4
313,7,"pilots, lan, chile, practices, andime",17,2000.4
314,8,"guatemala, unsitragua, nb, uasp, choi",21,2000.4
315,9,"sitrasepries, inpep, festraspes, siteaies, airport",4,2000.4
316,10,"cecinas, bread, intercompany, deduction, cooperatives",11,2000.4
317,11,"brokers, ins, andas, insurance, ageins",5,2000.4
318,12,"bankruptcy, receiver, debts, insolvency, sanitation",7,2000.4
319,13,"sitradel, fenitec, nicaragua, departmental, marenco",6,2000.4
320,14,"taubat, passos, elections, amaro, judge",1,2000.4
321,16,"cosmag, chalet, conarem, suisse, iess",2,2000.4
322,17,"aspa, aviacsa, mexican, fam, ballot",17,2000.4
323,18,"uaoegas, casmu, afgas, afcasmu, pitcnt",6,2000.4
324,19,"copemh, coprumh, honduran, honduras, clix",1,2000.4
325,20,"upcn, budget, petroperu, spending, fonafe",6,2000.4
326,22,"fruto, fenasep, panama, appointments, maritime",2,2000.4
327,25,"cuban, cuba, conic, cutc, chepe",5,2000.4
328,26,"quetzal, sigreteacopq, jovial, comitancillo, portuaria",1,2000.4
329,29,"timing, copemh, nonreprisal, libel, coprumh",3,2000.4
330,30,"csh, fritz, portauprince, fleurant, norval",1,2000.4
331,-1,"fmv, sitraj, sunepsas, sac, cv",149,2004.0
332,0,"murders, raquec, victim, coatepeque, perpetrators",73,2004.0
333,1,"accord, aerocivil, sinaltrainal, cundinamarca, colombia",25,2004.0
334,2,"mti, dgi, enacal, gamarra, augusto",48,2004.0
335,3,"ate, ipauss, udocba, salta, argentina",22,2004.0
336,4,"sinvema, mti, convocation, bill, sitrasspes",12,2004.0
337,5,"sac, essalud, sinacut, fetrapep, pesquera",13,2004.0
338,6,"girardot, sunep, sas, debts, salas",2,2004.0
339,7,"codelco, arauco, ctc, contracting, bosques",6,2004.0
340,8,"nach, guatemala, portela, ramrez, murders",7,2004.0
341,9,"sidpa, istu, alimenticios, productos, diana",6,2004.0
342,10,"icollantas, unilever, uniroyal, allowance, endofnegotiation",4,2004.0
343,11,"bills, rica, costa, bill, parliament",5,2004.0
344,12,"ed, fentase, substitute, ars, regulating",4,2004.0
345,14,"sinmgra, gravata, unilever, motors, stimmmepa",2,2004.0
346,16,"fundacyt, cevallos, simancas, isabel, norman",1,2004.0
347,17,"fgtem, setep, puebla, jalisco, mexico",6,2004.0
348,18,"disagreement, nonessential, operational, recommendationthe, requiring",1,2004.0
349,19,"stibys, hondurea, cervecera, olman, valladares",1,2004.0
350,20,"ate, upcn, sectoral, rectification, negotiating",3,2004.0
351,21,"contenidos, horas, panamericana, televisin, panam",2,2004.0
352,24,"cajanal, sintraunicol, eice, university, asemil",5,2004.0
353,28,"sidpa, dissolution, falsifying, ombudsman, unbeknown",1,2004.0
354,29,"neuqun, negro, aten, ro, road",3,2004.0
355,-1,"sintraime, indec, antiunion, expects, fenasep",242,2007.6
356,0,"uocra, murders, utp, risk, murdered",73,2007.6
357,1,"colombia, sinaltrainal, iss, sintraimagra, colombian",34,2007.6
358,2,"corah, tica, inacif, sifuse, lima",38,2007.6
359,3,"cta, ate, argentina, aires, buenos",47,2007.6
360,4,"nontraditional, apdfa, mpt, exports, passes",56,2007.6
361,5,"sunat, email, peru, sinaut, lima",44,2007.6
362,6,"bolivarian, venezuela, pdvsa, tigre, lottt",11,2007.6
363,7,"dgac, chile, chilean, anfdgac, directors",20,2007.6
